10.0.2.16;52.211.240.52;37266;443;1;0x00000303;23130,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,23130,21;android-appboot.netflix.com;0x00002a2a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;52.211.240.52;37268;443;1;0x00000303;27242,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,47802,21;android-appboot.netflix.com;0x00005a5a,0x0000001d,0x00000017,0x00000018;0
52.211.240.52;10.0.2.16;443;37266;2;0x00000303;49199;65281,11;;;0,1,2
52.211.240.52;10.0.2.16;443;37268;2;0x00000303;49199;65281,11;;;0,1,2
10.0.2.16;54.195.169.127;46520;443;1;0x00000303;64250,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,31354,21;android-h2.prod.ftl.netflix.com;0x0000eaea,0x0000001d,0x00000017,0x00000018;0
54.195.169.127;10.0.2.16;443;46520;2;0x00000303;4865;51,43;;;
10.0.2.16;52.211.179.103;60340;443;1;0x00000303;43690,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;35466,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,21;android.prod.cloud.netflix.com;0x00008a8a,0x0000001d,0x00000017,0x00000018;0
52.211.179.103;10.0.2.16;443;60340;2;0x00000303;4865;51,43;;;
10.0.2.16;45.57.16.139;51756;443;1;0x00000303;10794,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,64250,21;occ-0-1490-1489.1.nflxso.net;0x0000dada,0x0000001d,0x00000017,0x00000018;0
45.57.16.139;10.0.2.16;443;51756;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.139;51758;443;1;0x00000303;27242,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;35466,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,10794,21;occ-0-1490-1489.1.nflxso.net;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.16.139;51760;443;1;0x00000303;6682,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;23130,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,19018,21;occ-0-1490-1489.1.nflxso.net;0x00003a3a,0x0000001d,0x00000017,0x00000018;0
45.57.16.139;10.0.2.16;443;51758;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.139;51762;443;1;0x00000303;2570,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;6682,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,43690,21;occ-0-1490-1489.1.nflxso.net;0x00002a2a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.16.139;51764;443;1;0x00000303;43690,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;64250,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,21;occ-0-1490-1489.1.nflxso.net;0x00009a9a,0x0000001d,0x00000017,0x00000018;0
