52.203.120.81;10.0.2.16;443;35052;2;0x00000303;49199;65281,11,35,16;;;0,1,2
10.0.2.16;23.47.213.143;51768;443;1;0x00000303;31354,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,27242,21;p.ebaystatic.com;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;23.47.213.143;51770;443;1;0x00000303;56026,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;43690,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,2570,21;p.ebaystatic.com;0x0000eaea,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;23.47.213.143;51772;443;1;0x00000303;39578,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;56026,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,64250,21;p.ebaystatic.com;0x0000aaaa,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;23.47.213.143;51774;443;1;0x00000303;31354,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,27242,21;p.ebaystatic.com;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
23.47.213.143;10.0.2.16;443;51768;2;0x00000303;49199;65281,0,11,35,5,16;;;0,1,2
23.47.213.143;10.0.2.16;443;51770;2;0x00000303;49199;65281,0,11,35,5,16;;;0,1,2
23.47.213.143;10.0.2.16;443;51772;2;0x00000303;49199;65281,0,11,35,5,16;;;0,1,2
23.47.213.143;10.0.2.16;443;51774;2;0x00000303;49199;65281,0,11,35,5,16;;;0,1,2
10.0.2.16;23.47.213.216;51114;443;1;0x00000303;14906,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;60138,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,39578,41;apisd.ebay.com;0x00009a9a,0x0000001d,0x00000017,0x00000018;0
23.47.213.216;10.0.2.16;443;51114;2;0x00000303;4866;43,51,41;;;
